town,year,month,tmean_c,grid_lat,grid_lon
liwa,2012,2,24.669,-5.25,104.25
kepahiang,2012,2,23.732,-3.75,102.75
pagar_alam,2012,3,22.294,-4.25,103.25
lahat,2012,3,26.638,-3.75,103.75
muaradua,2012,3,24.856,-4.75,104.25
liwa,2012,3,24.888,-5.25,104.25
kepahiang,2012,3,23.356,-3.75,102.75
pagar_alam,2012,4,22.406,-4.25,103.25
lahat,2012,4,26.781,-3.75,103.75
muaradua,2012,4,24.812,-4.75,104.25
liwa,2012,4,24.749,-5.25,104.25
kepahiang,2012,4,23.812,-3.75,102.75
pagar_alam,2012,5,22.751,-4.25,103.25
lahat,2012,5,27.126,-3.75,103.75
muaradua,2012,5,25.283,-4.75,104.25
liwa,2012,5,25.283,-5.25,104.25
kepahiang,2012,5,24.158,-3.75,102.75
pagar_alam,2012,6,22.401,-4.25,103.25
lahat,2012,6,26.714,-3.75,103.75
muaradua,2012,6,24.87,-4.75,104.25
liwa,2012,6,24.87,-5.25,104.25
kepahiang,2012,6,23.433,-3.75,102.75
pagar_alam,2012,7,22.243,-4.25,103.25
lahat,2012,7,26.305,-3.75,103.75
muaradua,2012,7,24.305,-4.75,104.25
liwa,2012,7,24.274,-5.25,104.25
kepahiang,2012,7,23.305,-3.75,102.75
pagar_alam,2012,8,22.744,-4.25,103.25
lahat,2012,8,26.681,-3.75,103.75
muaradua,2012,8,24.744,-4.75,104.25
liwa,2012,8,24.713,-5.25,104.25
kepahiang,2012,8,23.525,-3.75,102.75
pagar_alam,2012,9,22.814,-4.25,103.25
lahat,2012,9,27.157,-3.75,103.75
muaradua,2012,9,25.189,-4.75,104.25
liwa,2012,9,25.095,-5.25,104.25
kepahiang,2012,9,23.845,-3.75,102.75
pagar_alam,2012,10,22.628,-4.25,103.25
lahat,2012,10,27.19,-3.75,103.75
muaradua,2012,10,25.596,-4.75,104.25
liwa,2012,10,25.659,-5.25,104.25
kepahiang,2012,10,23.503,-3.75,102.75
pagar_alam,2012,11,22.286,-4.25,103.25
lahat,2012,11,26.692,-3.75,103.75
muaradua,2012,11,25.099,-4.75,104.25
liwa,2012,11,25.192,-5.25,104.25
kepahiang,2012,11,23.192,-3.75,102.75
pagar_alam,2012,12,22.295,-4.25,103.25
lahat,2012,12,26.607,-3.75,103.75
muaradua,2012,12,24.982,-4.75,104.25
