town,date,precip_mm,grid_lat,grid_lon
liwa,2005-03-03,0.444,-5.25,104.25
kepahiang,2005-03-03,0.158,-3.75,102.75
pagar_alam,2005-03-04,2.653,-4.25,103.25
lahat,2005-03-04,16.738,-3.75,103.75
muaradua,2005-03-04,14.049,-4.75,104.25
liwa,2005-03-04,12.674,-5.25,104.25
kepahiang,2005-03-04,0.265,-3.75,102.75
pagar_alam,2005-03-05,26.833,-4.25,103.25
lahat,2005-03-05,19.23,-3.75,103.75
muaradua,2005-03-05,23.639,-4.75,104.25
liwa,2005-03-05,23.743,-5.25,104.25
kepahiang,2005-03-05,28.095,-3.75,102.75
pagar_alam,2005-03-06,0.021,-4.25,103.25
lahat,2005-03-06,0.146,-3.75,103.75
muaradua,2005-03-06,0.129,-4.75,104.25
liwa,2005-03-06,0.14,-5.25,104.25
kepahiang,2005-03-06,0.081,-3.75,102.75
pagar_alam,2005-03-07,0.0,-4.25,103.25
lahat,2005-03-07,0.0,-3.75,103.75
muaradua,2005-03-07,0.0,-4.75,104.25
liwa,2005-03-07,0.0,-5.25,104.25
kepahiang,2005-03-07,0.0,-3.75,102.75
pagar_alam,2005-03-08,0.0,-4.25,103.25
lahat,2005-03-08,0.0,-3.75,103.75
muaradua,2005-03-08,0.032,-4.75,104.25
liwa,2005-03-08,0.0,-5.25,104.25
kepahiang,2005-03-08,0.0,-3.75,102.75
pagar_alam,2005-03-09,0.806,-4.25,103.25
lahat,2005-03-09,0.907,-3.75,103.75
muaradua,2005-03-09,9.253,-4.75,104.25
liwa,2005-03-09,10.809,-5.25,104.25
kepahiang,2005-03-09,0.134,-3.75,102.75
pagar_alam,2005-03-10,4.15,-4.25,103.25
lahat,2005-03-10,8.522,-3.75,103.75
muaradua,2005-03-10,20.9,-4.75,104.25
liwa,2005-03-10,22.774,-5.25,104.25
kepahiang,2005-03-10,2.124,-3.75,102.75
pagar_alam,2005-03-11,2.108,-4.25,103.25
lahat,2005-03-11,2.859,-3.75,103.75
muaradua,2005-03-11,0.644,-4.75,104.25
liwa,2005-03-11,0.334,-5.25,104.25
kepahiang,2005-03-11,2.108,-3.75,102.75
pagar_alam,2005-03-12,0.113,-4.25,103.25
lahat,2005-03-12,0.179,-3.75,103.75
muaradua,2005-03-12,0.723,-4.75,104.25
liwa,2005-03-12,0.837,-5.25,104.25
kepahiang,2005-03-12,0.0,-3.75,102.75
pagar_alam,2005-03-13,2.524,-4.25,103.25
lahat,2005-03-13,2.57,-3.75,103.75
muaradua,2005-03-13,20.991,-4.75,104.25
liwa,2005-03-13,24.375,-5.25,104.25
kepahiang,2005-03-13,0.196,-3.75,102.75
pagar_alam,2005-03-14,11.306,-4.25,103.25
lahat,2005-03-14,8.457,-3.75,103.75
muaradua,2005-03-14,20.92,-4.75,104.25
liwa,2005-03-14,23.219,-5.25,104.25
kepahiang,2005-03-14,10.458,-3.75,102.75
pagar_alam,2005-03-15,1.781,-4.25,103.25
lahat,2005-03-15,2.268,-3.75,103.75
muaradua,2005-03-15,8.785,-4.75,104.25
liwa,2005-03-15,9.866,-5.25,104.25
kepahiang,2005-03-15,1.071,-3.75,102.75
pagar_alam,2005-03-16,34.221,-4.25,103.25
lahat,2005-03-16,25.1,-3.75,103.75
muaradua,2005-03-16,39.266,-4.75,104.25
liwa,2005-03-16,41.992,-5.25,104.25
kepahiang,2005-03-16,34.198,-3.75,102.75
pagar_alam,2005-03-17,6.223,-4.25,103.25
lahat,2005-03-17,38.695,-3.75,103.75
muaradua,2005-03-17,9.661,-4.75,104.25
liwa,2005-03-17,3.067,-5.25,104.25
kepahiang,2005-03-17,2.746,-3.75,102.75
pagar_alam,2005-03-18,1.836,-4.25,103.25
lahat,2005-03-18,1.851,-3.75,103.75
muaradua,2005-03-18,0.774,-4.75,104.25
liwa,2005-03-18,0.426,-5.25,104.25
kepahiang,2005-03-18,0.147,-3.75,102.75
pagar_alam,2005-03-19,37.731,-4.25,103.25
lahat,2005-03-19,42.228,-3.75,103.75
muaradua,2005-03-19,10.261,-4.75,104.25
liwa,2005-03-19,3.868,-5.25,104.25
kepahiang,2005-03-19,38.788,-3.75,102.75
pagar_alam,2005-03-20,0.036,-4.25,103.25
lahat,2005-03-20,0.103,-3.75,103.75
muaradua,2005-03-20,0.0,-4.75,104.25
liwa,2005-03-20,0.0,-5.25,104.25
kepahiang,2005-03-20,0.044,-3.75,102.75
