town,date,tmin_c,grid_lat,grid_lon
liwa,2005-03-20,20.112,-5.25,104.25
kepahiang,2005-03-20,18.799,-3.75,102.75
pagar_alam,2005-03-21,16.19,-4.25,103.25
lahat,2005-03-21,21.47,-3.75,103.75
muaradua,2005-03-21,17.06,-4.75,104.25
liwa,2005-03-21,17.242,-5.25,104.25
kepahiang,2005-03-21,18.951,-3.75,102.75
pagar_alam,2005-03-22,16.992,-4.25,103.25
lahat,2005-03-22,22.308,-3.75,103.75
muaradua,2005-03-22,19.403,-4.75,104.25
liwa,2005-03-22,19.711,-5.25,104.25
kepahiang,2005-03-22,19.658,-3.75,102.75
pagar_alam,2005-03-23,17.036,-4.25,103.25
lahat,2005-03-23,22.341,-3.75,103.75
muaradua,2005-03-23,19.058,-4.75,104.25
liwa,2005-03-23,19.308,-5.25,104.25
kepahiang,2005-03-23,19.76,-3.75,102.75
pagar_alam,2005-03-24,16.667,-4.25,103.25
lahat,2005-03-24,21.584,-3.75,103.75
muaradua,2005-03-24,19.248,-4.75,104.25
liwa,2005-03-24,19.751,-5.25,104.25
kepahiang,2005-03-24,19.397,-3.75,102.75
pagar_alam,2005-03-25,16.716,-4.25,103.25
lahat,2005-03-25,21.789,-3.75,103.75
muaradua,2005-03-25,19.154,-4.75,104.25
liwa,2005-03-25,19.536,-5.25,104.25
kepahiang,2005-03-25,19.258,-3.75,102.75
pagar_alam,2005-03-26,16.326,-4.25,103.25
lahat,2005-03-26,21.242,-3.75,103.75
muaradua,2005-03-26,19.267,-4.75,104.25
liwa,2005-03-26,19.86,-5.25,104.25
kepahiang,2005-03-26,19.071,-3.75,102.75
pagar_alam,2005-03-27,16.934,-4.25,103.25
lahat,2005-03-27,21.523,-3.75,103.75
muaradua,2005-03-27,20.002,-4.75,104.25
liwa,2005-03-27,20.658,-5.25,104.25
kepahiang,2005-03-27,19.714,-3.75,102.75
pagar_alam,2005-03-28,15.837,-4.25,103.25
lahat,2005-03-28,21.423,-3.75,103.75
muaradua,2005-03-28,18.807,-4.75,104.25
liwa,2005-03-28,19.175,-5.25,104.25
kepahiang,2005-03-28,18.212,-3.75,102.75
pagar_alam,2005-03-29,16.201,-4.25,103.25
lahat,2005-03-29,21.763,-3.75,103.75
muaradua,2005-03-29,19.559,-4.75,104.25
liwa,2005-03-29,20.018,-5.25,104.25
