town,date,tmax_c,grid_lat,grid_lon
lahat,2005-02-21,31.51,-3.75,103.75
muaradua,2005-02-21,28.664,-4.75,104.25
liwa,2005-02-21,27.62,-5.25,104.25
kepahiang,2005-02-21,30.19,-3.75,102.75
pagar_alam,2005-02-22,28.337,-4.25,103.25
lahat,2005-02-22,31.58,-3.75,103.75
muaradua,2005-02-22,29.998,-4.75,104.25
liwa,2005-02-22,29.084,-5.25,104.25
kepahiang,2005-02-22,29.163,-3.75,102.75
pagar_alam,2005-02-23,28.066,-4.25,103.25
lahat,2005-02-23,31.664,-3.75,103.75
muaradua,2005-02-23,29.714,-4.75,104.25
liwa,2005-02-23,28.838,-5.25,104.25
kepahiang,2005-02-23,29.018,-3.75,102.75
pagar_alam,2005-02-24,29.276,-4.25,103.25
lahat,2005-02-24,32.629,-3.75,103.75
muaradua,2005-02-24,29.839,-4.75,104.25
liwa,2005-02-24,28.792,-5.25,104.25
kepahiang,2005-02-24,30.389,-3.75,102.75
pagar_alam,2005-02-25,27.474,-4.25,103.25
lahat,2005-02-25,30.746,-3.75,103.75
muaradua,2005-02-25,30.264,-4.75,104.25
liwa,2005-02-25,29.747,-5.25,104.25
kepahiang,2005-02-25,28.248,-3.75,102.75
pagar_alam,2005-02-26,28.902,-4.25,103.25
lahat,2005-02-26,32.244,-3.75,103.75
muaradua,2005-02-26,29.38,-4.75,104.25
liwa,2005-02-26,28.233,-5.25,104.25
kepahiang,2005-02-26,29.931,-3.75,102.75
pagar_alam,2005-02-27,28.578,-4.25,103.25
lahat,2005-02-27,31.685,-3.75,103.75
muaradua,2005-02-27,30.953,-4.75,104.25
liwa,2005-02-27,30.378,-5.25,104.25
kepahiang,2005-02-27,29.309,-3.75,102.75
pagar_alam,2005-02-28,27.372,-4.25,103.25
lahat,2005-02-28,30.323,-3.75,103.75
muaradua,2005-02-28,29.441,-4.75,104.25
liwa,2005-02-28,28.799,-5.25,104.25
kepahiang,2005-02-28,28.295,-3.75,102.75
pagar_alam,2005-03-01,27.304,-4.25,103.25
lahat,2005-03-01,31.349,-3.75,103.75
muaradua,2005-03-01,29.869,-4.75,104.25
liwa,2005-03-01,28.923,-5.25,104.25
kepahiang,2005-03-01,28.123,-3.75,102.75
pagar_alam,2005-03-02,28.965,-4.25,103.25
lahat,2005-03-02,32.475,-3.75,103.75
muaradua,2005-03-02,31.277,-4.75,104.25
liwa,2005-03-02,30.396,-5.25,104.25
kepahiang,2005-03-02,29.986,-3.75,102.75
pagar_alam,2005-03-03,28.624,-4.25,103.25
lahat,2005-03-03,31.248,-3.75,103.75
muaradua,2005-03-03,30.573,-4.75,104.25
liwa,2005-03-03,29.924,-5.25,104.25
kepahiang,2005-03-03,29.591,-3.75,102.75
pagar_alam,2005-03-04,29.135,-4.25,103.25
lahat,2005-03-04,31.705,-3.75,103.75
muaradua,2005-03-04,30.818,-4.75,104.25
liwa,2005-03-04,30.036,-5.25,104.25
kepahiang,2005-03-04,30.241,-3.75,102.75
pagar_alam,2005-03-05,29.64,-4.25,103.25
lahat,2005-03-05,31.366,-3.75,103.75
muaradua,2005-03-05,29.393,-4.75,104.25
liwa,2005-03-05,28.47,-5.25,104.25
kepahiang,2005-03-05,31.258,-3.75,102.75
pagar_alam,2005-03-06,30.514,-4.25,103.25
lahat,2005-03-06,33.084,-3.75,103.75
muaradua,2005-03-06,30.322,-4.75,104.25
liwa,2005-03-06,29.088,-5.25,104.25
kepahiang,2005-03-06,31.947,-3.75,102.75
pagar_alam,2005-03-07,28.652,-4.25,103.25
lahat,2005-03-07,30.392,-3.75,103.75
muaradua,2005-03-07,29.813,-4.75,104.25
liwa,2005-03-07,29.204,-5.25,104.25
kepahiang,2005-03-07,29.77,-3.75,102.75
