country,series,variable,unit,source,n_obs,first_year,last_year,n_interpolated,adf_p_level,adf_p_diff,d_reason,status,p,d,q,trend,model,aic,aicc,bic,loglik,ljungbox_lag,ljungbox_p,rmse_insample,mape_insample,backtest_h,backtest_mape_arma,backtest_mape_naive,equation,mu,beta,phi1,phi2,sigma2,c,b,theta1,theta2,phi3
Honduras,Area total,area,1000 ha,USDA,27,2000,2026,0,0.874107,5.44424e-06,ADF p = 0.874 on levels,ok,0,1,0,n,"ARIMA(0,1,0)",227.971,228.137,229.229,-112.985,6,0.691921,18.6651,4.40314,3,5.66293,5.66293,∇X_t = ε_t   with ∇X_t = X_t − X_{t-1},,,,,348.4,,,,,
Honduras,Area non-bearing,area,1000 ha,USDA,27,2000,2026,0,0.0396118,7.57731e-08,ADF p = 0.040 on levels,ok,1,0,0,c,"ARMA(1,0)",237.551,238.594,241.438,-115.775,6,0.580122,17.5653,39.1547,3,34.0298,31.2222,X_t = 24.91 + 0.446·X_{t-1} + ε_t,44.9362,,0.445655,,307.933,24.9101,,,,
Honduras,Area bearing,area,1000 ha,USDA,27,2000,2026,0,0.944187,0.0451106,ADF p = 0.944 on levels; d=1 gave an MA unit root (over-differencing) -> level model kept,ok,3,0,0,ct,"ARMA(3,0)",232.384,236.584,240.159,-110.192,6,0.539348,15.225,4.68903,3,2.84593,6.66276,X_t = 222.4 + 6.056·t + 0.401·X_{t-1} − 0.227·X_{t-2} − 0.439·X_{t-3} + ε_t,180.914,4.78454,0.400869,-0.227431,194.886,222.441,6.05638,,,-0.439261
Honduras,Trees non-bearing,trees,million trees,USDA,27,2000,2026,0,0.288674,0.0736319,ADF p = 0.289 on levels,ok,0,1,1,n,"ARIMA(0,1,1)",232.064,232.586,234.58,-114.032,6,0.267715,19.2843,6.14015,3,6.3329,10.0498,∇X_t = ε_t + 0.578·ε_{t-1}   with ∇X_t = X_t − X_{t-1},,,,,371.724,,,0.578427,,
Honduras,Trees bearing,trees,million trees,USDA,27,2000,2026,0,0.998589,0.00120326,ADF p = 0.999 on levels,ok,0,1,0,t,"ARIMA(0,1,0)",314.567,315.089,317.084,-155.284,6,0.606771,94.9651,6.48988,3,5.35306,9.84962,∇X_t = 51.92 + ε_t   with ∇X_t = X_t − X_{t-1},,51.9231,,,9024.72,51.9231,,,,
Honduras,Trees total,trees,million trees,USDA,27,2000,2026,0,0.996326,0.000616132,ADF p = 0.996 on levels,ok,0,1,0,t,"ARIMA(0,1,0)",316.189,316.71,318.705,-156.094,6,0.794681,97.9729,5.80026,3,5.51488,9.87272,∇X_t = 57.19 + ε_t   with ∇X_t = X_t − X_{t-1},,57.1923,,,9600.03,57.1923,,,,
Honduras,Yield,yield,bags/ha,USDA,27,2000,2026,0,0.3411,1.92417e-15,ADF p = 0.341 on levels,ok,1,1,0,n,"ARIMA(1,1,0)",125.741,126.262,128.257,-60.8703,6,0.960689,2.49842,9.5032,3,4.46051,4.38039,∇X_t = −0.543·∇X_{t-1} + ε_t   with ∇X_t = X_t − X_{t-1},,,-0.543217,,6.24015,,,,,
Indonesia,Production Robusta,production,1000 60-kg bags,USDA,23,2004,2026,0,0.0251244,0.378688,ADF p = 0.025 on levels,ok,0,0,0,ct,"ARMA(0,0)",388.9,390.163,392.306,-191.45,5,0.865632,997.191,8.818,3,5.87266,32.3545,X_t = 7765 + 95.27·t + ε_t,7765.03,95.2732,,,984938,7765.03,95.2732,,,
Indonesia,Production Arabica,production,1000 60-kg bags,USDA,23,2004,2026,0,0.384502,6.10734e-06,ADF p = 0.385 on levels,ok,2,1,0,n,"ARIMA(2,1,0)",307.188,308.522,310.462,-150.594,5,0.621245,225.006,11.8919,3,5.49934,2.40173,∇X_t = −0.265·∇X_{t-1} − 0.468·∇X_{t-2} + ε_t   with ∇X_t = X_t − X_{t-1},,,-0.265264,-0.468409,50342.7,,,,,
Indonesia,Production Total,production,1000 60-kg bags,USDA,23,2004,2026,0,0.0260571,0.00205912,ADF p = 0.026 on levels,ok,0,0,0,ct,"ARMA(0,0)",394.994,396.257,398.401,-194.497,5,0.776964,1138.48,8.45905,3,5.00357,28.7766,X_t = 8967 + 103.9·t + ε_t,8967.12,103.907,,,1.30213e+06,8967.12,103.907,,,
Indonesia,Area non-bearing,area,million ha,USDA,23,2004,2026,0,0.00041949,0.000140144,ADF p = 0.000 on levels,ok,3,0,0,c,"ARMA(3,0)",-68.0062,-64.4768,-62.3287,39.0031,5,0.392108,0.057004,2.63349,3,0.526541,0,X_t = 1.301 + 0.706·X_{t-1} − 0.394·X_{t-2} − 0.355·X_{t-3} + ε_t,1.24653,,0.705571,-0.394017,0.00177896,1.30114,,,,-0.355358
Indonesia,Area bearing,area,million ha,USDA,23,2004,2026,0,0.383277,2.44157e-07,ADF p = 0.383 on levels,ok,0,1,0,n,"ARIMA(0,1,0)",-58.2266,-58.0266,-57.1355,30.1133,5,0.277721,0.0615611,2.50312,3,0,0,∇X_t = ε_t   with ∇X_t = X_t − X_{t-1},,,,,0.00378919,,,,,
Indonesia,Area total,area,million ha,USDA,23,2004,2026,0,0.025384,0.585587,ADF p = 0.025 on levels,ok,0,0,1,ct,"ARMA(0,1)",-41.027,-38.8048,-36.485,24.5135,5,0.694033,0.0906732,2.81821,3,5.05307,0,X_t = 2.183 + 0.01559·t + ε_t + 0.860·ε_{t-1},2.18274,0.0155939,,,0.00655128,2.18274,0.0155939,0.859745,,
Indonesia,Trees non-bearing,trees,million trees,USDA,17,2004,2020,0,0.306982,0.972495,ADF p = 0.307 on levels,ok,0,1,0,t,"ARIMA(0,1,0)",152.881,153.805,154.427,-74.4407,4,0.346484,25.371,48.3169,3,225.641,0,∇X_t = −13.75 + ε_t   with ∇X_t = X_t − X_{t-1},,-13.75,,,643.685,-13.75,,,,
Indonesia,Trees bearing,trees,million trees,USDA,17,2004,2020,0,0,7.68773e-16,ADF p = 0.000 on levels,ok,0,0,1,c,"ARMA(0,1)",198.54,200.386,201.039,-96.2698,4,0.687773,69.1471,3.96636,3,3.62805,0,X_t = 1198 + ε_t + 0.638·ε_{t-1},1198.33,,,,4708.83,1198.33,,0.638266,,
Indonesia,Trees total,trees,million trees,USDA,17,2004,2020,0,1.03594e-06,0.735138,ADF p = 0.000 on levels,ok,0,0,1,ct,"ARMA(0,1)",207.25,210.584,210.583,-99.6252,4,0.515844,84.6761,4.27669,3,4.66095,0,X_t = 1488 − 21.06·t + ε_t + 0.542·ε_{t-1},1488.22,-21.0591,,,7060.39,1488.22,-21.0591,0.542195,,
