key,lat,lon,elev_m,year,month,rain_mm,tmax_mean_c,tmin_mean_c,n_days
comayagua_lalibertad,14.700005,-87.6,595.0,1999,1,,24.19,17.35,0
comayagua_lalibertad,14.700005,-87.6,595.0,1999,2,,26.06,17.83,0
comayagua_lalibertad,14.700005,-87.6,595.0,1999,3,,29.02,18.46,0
comayagua_lalibertad,14.700005,-87.6,595.0,1999,4,,32.4,20.1,0
comayagua_lalibertad,14.700005,-87.6,595.0,1999,5,,30.68,21.21,0
comayagua_lalibertad,14.700005,-87.6,595.0,1999,6,,28.65,20.82,0
comayagua_lalibertad,14.700005,-87.6,595.0,1999,7,,27.82,20.32,0
comayagua_lalibertad,14.700005,-87.6,595.0,1999,8,,29.27,20.72,0
comayagua_lalibertad,14.700005,-87.6,595.0,1999,9,,28.07,20.45,0
comayagua_lalibertad,14.700005,-87.6,595.0,1999,10,,25.37,19.19,0
comayagua_lalibertad,14.700005,-87.6,595.0,1999,11,,22.12,17.06,0
comayagua_lalibertad,14.700005,-87.6,595.0,1999,12,,23.34,17.02,0
comayagua_lalibertad,14.700005,-87.6,595.0,2000,1,,24.14,16.64,0
comayagua_lalibertad,14.700005,-87.6,595.0,2000,2,,25.07,17.0,0
comayagua_lalibertad,14.700005,-87.6,595.0,2000,3,,30.03,18.68,0
comayagua_lalibertad,14.700005,-87.6,595.0,2000,4,,31.31,19.74,0
comayagua_lalibertad,14.700005,-87.6,595.0,2000,5,,29.38,20.72,0
comayagua_lalibertad,14.700005,-87.6,595.0,2000,6,,28.5,20.67,0
comayagua_lalibertad,14.700005,-87.6,595.0,2000,7,,28.86,20.59,0
comayagua_lalibertad,14.700005,-87.6,595.0,2000,8,,28.07,20.53,0
comayagua_lalibertad,14.700005,-87.6,595.0,2000,9,,28.19,20.37,0
comayagua_lalibertad,14.700005,-87.6,595.0,2000,10,,25.67,19.69,0
comayagua_lalibertad,14.700005,-87.6,595.0,2000,11,,26.54,19.63,0
comayagua_lalibertad,14.700005,-87.6,595.0,2000,12,,22.71,17.76,0
comayagua_lalibertad,14.700005,-87.6,595.0,2001,1,,23.18,16.35,0
comayagua_lalibertad,14.700005,-87.6,595.0,2001,2,,26.91,18.14,0
comayagua_lalibertad,14.700005,-87.6,595.0,2001,3,,29.13,16.6,0
comayagua_lalibertad,14.700005,-87.6,595.0,2001,4,,31.19,20.06,0
comayagua_lalibertad,14.700005,-87.6,595.0,2001,5,,29.11,20.65,0
comayagua_lalibertad,14.700005,-87.6,595.0,2001,6,,29.21,20.36,0
comayagua_lalibertad,14.700005,-87.6,595.0,2001,7,,29.99,20.97,0
comayagua_lalibertad,14.700005,-87.6,595.0,2001,8,,29.04,21.14,0
comayagua_lalibertad,14.700005,-87.6,595.0,2001,9,,28.64,20.37,0
comayagua_lalibertad,14.700005,-87.6,595.0,2001,10,,26.05,20.09,0
comayagua_lalibertad,14.700005,-87.6,595.0,2001,11,,24.34,18.21,0
comayagua_lalibertad,14.700005,-87.6,595.0,2001,12,,24.93,18.98,0
comayagua_lalibertad,14.700005,-87.6,595.0,2002,1,,25.33,17.67,0
comayagua_lalibertad,14.700005,-87.6,595.0,2002,2,,26.55,18.35,0
comayagua_lalibertad,14.700005,-87.6,595.0,2002,3,,29.01,18.27,0
comayagua_lalibertad,14.700005,-87.6,595.0,2002,4,,30.57,20.2,0
comayagua_lalibertad,14.700005,-87.6,595.0,2002,5,,30.37,21.15,0
comayagua_lalibertad,14.700005,-87.6,595.0,2002,6,,29.29,21.27,0
comayagua_lalibertad,14.700005,-87.6,595.0,2002,7,,28.9,21.23,0
comayagua_lalibertad,14.700005,-87.6,595.0,2002,8,,29.33,21.15,0
comayagua_lalibertad,14.700005,-87.6,595.0,2002,9,,29.61,20.79,0
comayagua_lalibertad,14.700005,-87.6,595.0,2002,10,,27.77,20.49,0
comayagua_lalibertad,14.700005,-87.6,595.0,2002,11,,25.68,18.74,0
comayagua_lalibertad,14.700005,-87.6,595.0,2002,12,,25.76,18.8,0
comayagua_lalibertad,14.700005,-87.6,595.0,2003,1,,22.09,16.94,0
comayagua_lalibertad,14.700005,-87.6,595.0,2003,2,,27.65,18.76,0
comayagua_lalibertad,14.700005,-87.6,595.0,2003,3,,31.49,19.28,0
comayagua_lalibertad,14.700005,-87.6,595.0,2003,4,,31.56,19.49,0
comayagua_lalibertad,14.700005,-87.6,595.0,2003,5,,32.77,21.95,0
comayagua_lalibertad,14.700005,-87.6,595.0,2003,6,,29.6,21.07,0
comayagua_lalibertad,14.700005,-87.6,595.0,2003,7,,29.05,21.22,0
comayagua_lalibertad,14.700005,-87.6,595.0,2003,8,,29.43,21.15,0
comayagua_lalibertad,14.700005,-87.6,595.0,2003,9,,29.2,20.6,0
comayagua_lalibertad,14.700005,-87.6,595.0,2003,10,,27.17,20.68,0
comayagua_lalibertad,14.700005,-87.6,595.0,2003,11,,24.69,19.56,0
comayagua_lalibertad,14.700005,-87.6,595.0,2003,12,,21.91,16.66,0
comayagua_lalibertad,14.700005,-87.6,595.0,2004,1,,25.07,17.37,0
comayagua_lalibertad,14.700005,-87.6,595.0,2004,2,,26.88,17.99,0
comayagua_lalibertad,14.700005,-87.6,595.0,2004,3,,26.89,18.9,0
comayagua_lalibertad,14.700005,-87.6,595.0,2004,4,,29.56,19.19,0
comayagua_lalibertad,14.700005,-87.6,595.0,2004,5,,28.39,20.93,0
comayagua_lalibertad,14.700005,-87.6,595.0,2004,6,,28.93,20.78,0
comayagua_lalibertad,14.700005,-87.6,595.0,2004,7,,28.75,20.74,0
comayagua_lalibertad,14.700005,-87.6,595.0,2004,8,,29.45,21.04,0
comayagua_lalibertad,14.700005,-87.6,595.0,2004,9,,28.54,20.44,0
comayagua_lalibertad,14.700005,-87.6,595.0,2004,10,,27.53,20.46,0
comayagua_lalibertad,14.700005,-87.6,595.0,2004,11,,24.96,19.07,0
comayagua_lalibertad,14.700005,-87.6,595.0,2004,12,,23.56,17.67,0
comayagua_lalibertad,14.700005,-87.6,595.0,2005,1,,23.68,16.64,0
comayagua_lalibertad,14.700005,-87.6,595.0,2005,2,,26.64,16.96,0
comayagua_lalibertad,14.700005,-87.6,595.0,2005,3,,31.47,20.31,0
comayagua_lalibertad,14.700005,-87.6,595.0,2005,4,,32.42,20.69,0
comayagua_lalibertad,14.700005,-87.6,595.0,2005,5,,29.42,20.96,0
comayagua_lalibertad,14.700005,-87.6,595.0,2005,6,,29.06,21.38,0
comayagua_lalibertad,14.700005,-87.6,595.0,2005,7,,28.4,20.8,0
comayagua_lalibertad,14.700005,-87.6,595.0,2005,8,,28.54,21.0,0
comayagua_lalibertad,14.700005,-87.6,595.0,2005,9,,28.11,21.16,0
comayagua_lalibertad,14.700005,-87.6,595.0,2005,10,,25.45,19.66,0
comayagua_lalibertad,14.700005,-87.6,595.0,2005,11,,23.61,17.68,0
comayagua_lalibertad,14.700005,-87.6,595.0,2005,12,,24.78,18.68,0
comayagua_lalibertad,14.700005,-87.6,595.0,2006,1,,23.96,17.49,0
comayagua_lalibertad,14.700005,-87.6,595.0,2006,2,,25.33,16.98,0
comayagua_lalibertad,14.700005,-87.6,595.0,2006,3,,29.29,18.26,0
comayagua_lalibertad,14.700005,-87.6,595.0,2006,4,,30.88,20.11,0
comayagua_lalibertad,14.700005,-87.6,595.0,2006,5,,31.17,21.43,0
comayagua_lalibertad,14.700005,-87.6,595.0,2006,6,,27.85,21.33,0
comayagua_lalibertad,14.700005,-87.6,595.0,2006,7,,28.29,21.24,0
comayagua_lalibertad,14.700005,-87.6,595.0,2006,8,,28.71,21.25,0
comayagua_lalibertad,14.700005,-87.6,595.0,2006,9,,29.06,20.81,0
comayagua_lalibertad,14.700005,-87.6,595.0,2006,10,,27.64,20.74,0
comayagua_lalibertad,14.700005,-87.6,595.0,2006,11,,24.24,18.71,0
comayagua_lalibertad,14.700005,-87.6,595.0,2006,12,,24.7,18.85,0
comayagua_lalibertad,14.700005,-87.6,595.0,2007,1,,26.4,18.57,0
comayagua_lalibertad,14.700005,-87.6,595.0,2007,2,,28.44,17.92,0
comayagua_lalibertad,14.700005,-87.6,595.0,2007,3,,28.07,18.81,0
comayagua_lalibertad,14.700005,-87.6,595.0,2007,4,,31.66,20.69,0
comayagua_lalibertad,14.700005,-87.6,595.0,2007,5,,32.29,21.48,0
comayagua_lalibertad,14.700005,-87.6,595.0,2007,6,,29.15,21.11,0
comayagua_lalibertad,14.700005,-87.6,595.0,2007,7,,30.08,21.11,0
comayagua_lalibertad,14.700005,-87.6,595.0,2007,8,,29.16,20.78,0
comayagua_lalibertad,14.700005,-87.6,595.0,2007,9,,27.69,20.53,0
comayagua_lalibertad,14.700005,-87.6,595.0,2007,10,,26.13,19.61,0
comayagua_lalibertad,14.700005,-87.6,595.0,2007,11,,23.23,18.6,0
comayagua_lalibertad,14.700005,-87.6,595.0,2007,12,,24.85,17.64,0
comayagua_lalibertad,14.700005,-87.6,595.0,2008,1,,24.92,17.85,0
comayagua_lalibertad,14.700005,-87.6,595.0,2008,2,,27.81,18.36,0
comayagua_lalibertad,14.700005,-87.6,595.0,2008,3,,28.82,18.44,0
comayagua_lalibertad,14.700005,-87.6,595.0,2008,4,,30.86,20.18,0
comayagua_lalibertad,14.700005,-87.6,595.0,2008,5,,32.36,21.75,0
comayagua_lalibertad,14.700005,-87.6,595.0,2008,6,,28.6,21.06,0
comayagua_lalibertad,14.700005,-87.6,595.0,2008,7,,28.44,20.47,0
comayagua_lalibertad,14.700005,-87.6,595.0,2008,8,,29.91,21.09,0
comayagua_lalibertad,14.700005,-87.6,595.0,2008,9,,29.13,20.92,0
comayagua_lalibertad,14.700005,-87.6,595.0,2008,10,,24.58,20.09,0
comayagua_lalibertad,14.700005,-87.6,595.0,2008,11,,23.14,16.83,0
comayagua_lalibertad,14.700005,-87.6,595.0,2008,12,,23.8,17.64,0
comayagua_lalibertad,14.700005,-87.6,595.0,2009,1,,24.87,17.45,0
