key,year,month,rain_mm,n_days
el_paraiso_danli,2007,7,90.6,31
el_paraiso_danli,2007,8,225.0,31
el_paraiso_danli,2007,9,319.9,30
el_paraiso_danli,2007,10,121.7,31
el_paraiso_danli,2007,11,112.9,30
el_paraiso_danli,2007,12,12.4,31
el_paraiso_danli,2008,1,9.5,31
el_paraiso_danli,2008,2,14.1,29
el_paraiso_danli,2008,3,17.1,31
el_paraiso_danli,2008,4,12.3,30
el_paraiso_danli,2008,5,155.1,31
el_paraiso_danli,2008,6,181.6,30
el_paraiso_danli,2008,7,165.1,31
el_paraiso_danli,2008,8,138.4,31
el_paraiso_danli,2008,9,236.1,30
el_paraiso_danli,2008,10,311.7,31
el_paraiso_danli,2008,11,11.1,30
el_paraiso_danli,2008,12,19.5,31
el_paraiso_danli,2009,1,9.0,31
el_paraiso_danli,2009,2,5.5,28
el_paraiso_danli,2009,3,4.0,31
el_paraiso_danli,2009,4,8.2,30
el_paraiso_danli,2009,5,204.4,31
el_paraiso_danli,2009,6,289.1,30
el_paraiso_danli,2009,7,99.2,31
el_paraiso_danli,2009,8,107.3,31
el_paraiso_danli,2009,9,109.1,30
el_paraiso_danli,2009,10,78.3,31
el_paraiso_danli,2009,11,45.1,30
el_paraiso_danli,2009,12,14.5,31
el_paraiso_danli,2010,1,10.1,31
el_paraiso_danli,2010,2,14.6,28
el_paraiso_danli,2010,3,15.6,31
el_paraiso_danli,2010,4,127.1,30
el_paraiso_danli,2010,5,242.3,31
el_paraiso_danli,2010,6,214.1,30
el_paraiso_danli,2010,7,210.0,31
el_paraiso_danli,2010,8,322.6,31
el_paraiso_danli,2010,9,207.6,30
el_paraiso_danli,2010,10,76.6,31
el_paraiso_danli,2010,11,51.6,30
el_paraiso_danli,2010,12,5.2,31
el_paraiso_danli,2011,1,9.3,31
el_paraiso_danli,2011,2,12.5,28
el_paraiso_danli,2011,3,6.5,31
el_paraiso_danli,2011,4,13.6,30
el_paraiso_danli,2011,5,183.6,31
el_paraiso_danli,2011,6,189.5,30
el_paraiso_danli,2011,7,251.8,31
el_paraiso_danli,2011,8,153.9,31
el_paraiso_danli,2011,9,194.2,30
el_paraiso_danli,2011,10,163.2,31
el_paraiso_danli,2011,11,23.8,30
el_paraiso_danli,2011,12,18.8,31
el_paraiso_danli,2012,1,14.7,31
el_paraiso_danli,2012,2,20.8,29
el_paraiso_danli,2012,3,7.3,31
el_paraiso_danli,2012,4,61.9,30
el_paraiso_danli,2012,5,275.5,31
el_paraiso_danli,2012,6,155.9,30
el_paraiso_danli,2012,7,107.3,31
el_paraiso_danli,2012,8,162.3,31
el_paraiso_danli,2012,9,95.2,30
el_paraiso_danli,2012,10,104.4,31
el_paraiso_danli,2012,11,15.2,30
el_paraiso_danli,2012,12,14.1,31
el_paraiso_danli,2013,1,21.4,31
el_paraiso_danli,2013,2,2.1,28
el_paraiso_danli,2013,3,22.4,31
el_paraiso_danli,2013,4,15.2,30
el_paraiso_danli,2013,5,94.5,31
el_paraiso_danli,2013,6,178.2,30
el_paraiso_danli,2013,7,105.4,31
el_paraiso_danli,2013,8,139.0,31
el_paraiso_danli,2013,9,235.3,30
el_paraiso_danli,2013,10,103.0,31
el_paraiso_danli,2013,11,57.6,30
el_paraiso_danli,2013,12,44.8,31
el_paraiso_danli,2014,1,14.0,31
el_paraiso_danli,2014,2,8.3,28
el_paraiso_danli,2014,3,11.2,31
el_paraiso_danli,2014,4,7.7,30
el_paraiso_danli,2014,5,129.3,31
el_paraiso_danli,2014,6,139.4,30
el_paraiso_danli,2014,7,74.4,31
el_paraiso_danli,2014,8,97.5,31
el_paraiso_danli,2014,9,207.7,30
el_paraiso_danli,2014,10,309.7,31
el_paraiso_danli,2014,11,40.7,30
el_paraiso_danli,2014,12,17.8,31
el_paraiso_danli,2015,1,19.6,31
el_paraiso_danli,2015,2,9.9,28
el_paraiso_danli,2015,3,12.9,31
el_paraiso_danli,2015,4,29.3,30
el_paraiso_danli,2015,5,89.9,31
el_paraiso_danli,2015,6,333.8,30
