town,year,month,rain_mm,grid_lat,grid_lon,source
comayagua,1997,6,299.08,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1997,7,214.17,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1997,8,139.28,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1997,9,187.44,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1997,10,155.93,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1997,11,86.03,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1997,12,12.31,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1998,1,20.78,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1998,2,1.86,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1998,3,25.16,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1998,4,17.02,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1998,5,170.53,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1998,6,178.63,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1998,7,183.86,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1998,8,165.38,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1998,9,128.51,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1998,10,409.22,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1998,11,59.27,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1998,12,26.77,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1999,1,69.1,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1999,2,25.62,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1999,3,22.15,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1999,4,15.51,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1999,5,101.88,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1999,6,219.4,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1999,7,166.18,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1999,8,190.59,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1999,9,332.65,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1999,10,56.45,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1999,11,68.17,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1999,12,4.09,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,2000,1,33.73,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,2000,2,11.73,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,2000,3,0.0,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,2000,4,39.29,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,2000,5,141.67,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,2000,6,166.41,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,2000,7,172.24,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,2000,8,172.54,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,2000,9,250.66,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,2000,10,108.52,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,2000,11,10.85,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,2000,12,38.68,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,2001,1,0.0,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
