town,date,tmin_c,grid_lat,grid_lon
copan,2005-04-27,15.485,14.75,271.25
comayagua,2005-04-28,21.907,14.25,272.25
ocotepeque,2005-04-28,24.628,14.25,270.75
copan,2005-04-28,19.786,14.75,271.25
comayagua,2005-04-29,22.274,14.25,272.25
ocotepeque,2005-04-29,22.837,14.25,270.75
copan,2005-04-29,18.775,14.75,271.25
comayagua,2005-04-30,21.276,14.25,272.25
ocotepeque,2005-04-30,23.627,14.25,270.75
copan,2005-04-30,21.089,14.75,271.25
comayagua,2005-05-01,20.097,14.25,272.25
ocotepeque,2005-05-01,24.554,14.25,270.75
copan,2005-05-01,21.199,14.75,271.25
comayagua,2005-05-02,20.741,14.25,272.25
ocotepeque,2005-05-02,21.758,14.25,270.75
copan,2005-05-02,19.086,14.75,271.25
comayagua,2005-05-03,18.837,14.25,272.25
ocotepeque,2005-05-03,20.059,14.25,270.75
copan,2005-05-03,18.034,14.75,271.25
comayagua,2005-05-04,18.872,14.25,272.25
ocotepeque,2005-05-04,19.527,14.25,270.75
copan,2005-05-04,18.308,14.75,271.25
comayagua,2005-05-05,18.392,14.25,272.25
ocotepeque,2005-05-05,20.783,14.25,270.75
copan,2005-05-05,22.826,14.75,271.25
comayagua,2005-05-06,18.468,14.25,272.25
ocotepeque,2005-05-06,20.159,14.25,270.75
copan,2005-05-06,16.509,14.75,271.25
comayagua,2005-05-07,20.071,14.25,272.25
ocotepeque,2005-05-07,20.574,14.25,270.75
copan,2005-05-07,17.658,14.75,271.25
comayagua,2005-05-08,19.643,14.25,272.25
ocotepeque,2005-05-08,20.046,14.25,270.75
copan,2005-05-08,15.987,14.75,271.25
comayagua,2005-05-09,24.94,14.25,272.25
ocotepeque,2005-05-09,21.344,14.25,270.75
copan,2005-05-09,22.068,14.75,271.25
comayagua,2005-05-10,20.918,14.25,272.25
ocotepeque,2005-05-10,24.277,14.25,270.75
copan,2005-05-10,18.478,14.75,271.25
comayagua,2005-05-11,20.335,14.25,272.25
ocotepeque,2005-05-11,24.259,14.25,270.75
copan,2005-05-11,18.652,14.75,271.25
comayagua,2005-05-12,21.042,14.25,272.25
ocotepeque,2005-05-12,20.6,14.25,270.75
copan,2005-05-12,19.123,14.75,271.25
comayagua,2005-05-13,18.798,14.25,272.25
ocotepeque,2005-05-13,21.381,14.25,270.75
copan,2005-05-13,18.302,14.75,271.25
comayagua,2005-05-14,20.43,14.25,272.25
ocotepeque,2005-05-14,20.401,14.25,270.75
copan,2005-05-14,18.208,14.75,271.25
comayagua,2005-05-15,23.611,14.25,272.25
ocotepeque,2005-05-15,23.731,14.25,270.75
copan,2005-05-15,16.863,14.75,271.25
comayagua,2005-05-16,18.886,14.25,272.25
ocotepeque,2005-05-16,21.991,14.25,270.75
copan,2005-05-16,15.77,14.75,271.25
comayagua,2005-05-17,18.697,14.25,272.25
ocotepeque,2005-05-17,22.388,14.25,270.75
copan,2005-05-17,17.936,14.75,271.25
comayagua,2005-05-18,20.46,14.25,272.25
ocotepeque,2005-05-18,20.53,14.25,270.75
copan,2005-05-18,19.108,14.75,271.25
comayagua,2005-05-19,16.897,14.25,272.25
ocotepeque,2005-05-19,19.66,14.25,270.75
copan,2005-05-19,17.803,14.75,271.25
comayagua,2005-05-20,15.192,14.25,272.25
ocotepeque,2005-05-20,15.786,14.25,270.75
copan,2005-05-20,14.717,14.75,271.25
comayagua,2005-05-21,16.785,14.25,272.25
ocotepeque,2005-05-21,19.252,14.25,270.75
copan,2005-05-21,16.803,14.75,271.25
comayagua,2005-05-22,18.894,14.25,272.25
ocotepeque,2005-05-22,19.435,14.25,270.75
copan,2005-05-22,15.649,14.75,271.25
comayagua,2005-05-23,18.574,14.25,272.25
ocotepeque,2005-05-23,18.781,14.25,270.75
copan,2005-05-23,17.99,14.75,271.25
comayagua,2005-05-24,18.822,14.25,272.25
ocotepeque,2005-05-24,19.163,14.25,270.75
copan,2005-05-24,17.611,14.75,271.25
comayagua,2005-05-25,21.107,14.25,272.25
ocotepeque,2005-05-25,21.26,14.25,270.75
copan,2005-05-25,20.5,14.75,271.25
comayagua,2005-05-26,18.652,14.25,272.25
ocotepeque,2005-05-26,20.794,14.25,270.75
copan,2005-05-26,17.561,14.75,271.25
comayagua,2005-05-27,18.321,14.25,272.25
ocotepeque,2005-05-27,20.517,14.25,270.75
copan,2005-05-27,17.919,14.75,271.25
comayagua,2005-05-28,19.435,14.25,272.25
ocotepeque,2005-05-28,23.914,14.25,270.75
copan,2005-05-28,21.015,14.75,271.25
comayagua,2005-05-29,22.424,14.25,272.25
ocotepeque,2005-05-29,26.026,14.25,270.75
copan,2005-05-29,22.869,14.75,271.25
comayagua,2005-05-30,19.041,14.25,272.25
ocotepeque,2005-05-30,20.666,14.25,270.75
copan,2005-05-30,24.213,14.75,271.25
comayagua,2005-05-31,18.163,14.25,272.25
ocotepeque,2005-05-31,20.185,14.25,270.75
copan,2005-05-31,18.422,14.75,271.25
comayagua,2005-06-01,20.105,14.25,272.25
ocotepeque,2005-06-01,20.541,14.25,270.75
copan,2005-06-01,18.128,14.75,271.25
comayagua,2005-06-02,18.677,14.25,272.25
ocotepeque,2005-06-02,20.725,14.25,270.75
copan,2005-06-02,19.045,14.75,271.25
comayagua,2005-06-03,19.048,14.25,272.25
ocotepeque,2005-06-03,21.0,14.25,270.75
copan,2005-06-03,18.126,14.75,271.25
comayagua,2005-06-04,19.213,14.25,272.25
ocotepeque,2005-06-04,20.585,14.25,270.75
copan,2005-06-04,19.449,14.75,271.25
comayagua,2005-06-05,19.82,14.25,272.25
ocotepeque,2005-06-05,23.261,14.25,270.75
copan,2005-06-05,17.848,14.75,271.25
comayagua,2005-06-06,18.964,14.25,272.25
ocotepeque,2005-06-06,21.586,14.25,270.75
copan,2005-06-06,19.081,14.75,271.25
comayagua,2005-06-07,18.905,14.25,272.25
ocotepeque,2005-06-07,20.086,14.25,270.75
copan,2005-06-07,18.117,14.75,271.25
comayagua,2005-06-08,20.07,14.25,272.25
ocotepeque,2005-06-08,20.599,14.25,270.75
copan,2005-06-08,19.077,14.75,271.25
comayagua,2005-06-09,25.867,14.25,272.25
ocotepeque,2005-06-09,21.757,14.25,270.75
copan,2005-06-09,22.101,14.75,271.25
comayagua,2005-06-10,18.577,14.25,272.25
ocotepeque,2005-06-10,19.586,14.25,270.75
copan,2005-06-10,17.532,14.75,271.25
comayagua,2005-06-11,20.452,14.25,272.25
ocotepeque,2005-06-11,20.933,14.25,270.75
copan,2005-06-11,19.22,14.75,271.25
comayagua,2005-06-12,20.318,14.25,272.25
ocotepeque,2005-06-12,20.508,14.25,270.75
copan,2005-06-12,19.031,14.75,271.25
comayagua,2005-06-13,21.05,14.25,272.25
ocotepeque,2005-06-13,24.37,14.25,270.75
copan,2005-06-13,20.483,14.75,271.25
comayagua,2005-06-14,19.532,14.25,272.25
ocotepeque,2005-06-14,24.84,14.25,270.75
copan,2005-06-14,19.209,14.75,271.25
comayagua,2005-06-15,19.118,14.25,272.25
ocotepeque,2005-06-15,20.344,14.25,270.75
copan,2005-06-15,18.704,14.75,271.25
comayagua,2005-06-16,21.121,14.25,272.25
ocotepeque,2005-06-16,22.455,14.25,270.75
copan,2005-06-16,23.74,14.75,271.25
comayagua,2005-06-17,19.994,14.25,272.25
ocotepeque,2005-06-17,23.583,14.25,270.75
copan,2005-06-17,18.449,14.75,271.25
comayagua,2005-06-18,20.292,14.25,272.25
ocotepeque,2005-06-18,21.18,14.25,270.75
copan,2005-06-18,20.993,14.75,271.25
comayagua,2005-06-19,24.275,14.25,272.25
ocotepeque,2005-06-19,22.012,14.25,270.75
copan,2005-06-19,24.722,14.75,271.25
comayagua,2005-06-20,21.485,14.25,272.25
ocotepeque,2005-06-20,21.905,14.25,270.75
copan,2005-06-20,20.829,14.75,271.25
comayagua,2005-06-21,23.507,14.25,272.25
ocotepeque,2005-06-21,21.029,14.25,270.75
copan,2005-06-21,23.077,14.75,271.25
comayagua,2005-06-22,19.762,14.25,272.25
ocotepeque,2005-06-22,20.487,14.25,270.75
copan,2005-06-22,19.244,14.75,271.25
comayagua,2005-06-23,18.815,14.25,272.25
ocotepeque,2005-06-23,21.356,14.25,270.75
copan,2005-06-23,23.055,14.75,271.25
comayagua,2005-06-24,19.744,14.25,272.25
ocotepeque,2005-06-24,21.115,14.25,270.75
copan,2005-06-24,18.918,14.75,271.25
comayagua,2005-06-25,19.253,14.25,272.25
ocotepeque,2005-06-25,21.201,14.25,270.75
copan,2005-06-25,19.832,14.75,271.25
comayagua,2005-06-26,19.919,14.25,272.25
ocotepeque,2005-06-26,20.689,14.25,270.75
copan,2005-06-26,18.988,14.75,271.25
comayagua,2005-06-27,19.374,14.25,272.25
ocotepeque,2005-06-27,20.825,14.25,270.75
copan,2005-06-27,18.638,14.75,271.25
comayagua,2005-06-28,18.779,14.25,272.25
ocotepeque,2005-06-28,21.079,14.25,270.75
copan,2005-06-28,18.902,14.75,271.25
comayagua,2005-06-29,19.251,14.25,272.25
ocotepeque,2005-06-29,20.192,14.25,270.75
copan,2005-06-29,19.697,14.75,271.25
comayagua,2005-06-30,18.093,14.25,272.25
ocotepeque,2005-06-30,20.462,14.25,270.75
copan,2005-06-30,18.491,14.75,271.25
comayagua,2005-07-01,19.337,14.25,272.25
ocotepeque,2005-07-01,19.769,14.25,270.75
copan,2005-07-01,17.823,14.75,271.25
comayagua,2005-07-02,17.687,14.25,272.25
ocotepeque,2005-07-02,20.05,14.25,270.75
copan,2005-07-02,17.049,14.75,271.25
comayagua,2005-07-03,18.114,14.25,272.25
ocotepeque,2005-07-03,21.39,14.25,270.75
copan,2005-07-03,17.952,14.75,271.25
comayagua,2005-07-04,18.837,14.25,272.25
ocotepeque,2005-07-04,21.541,14.25,270.75
copan,2005-07-04,20.785,14.75,271.25
comayagua,2005-07-05,17.316,14.25,272.25
ocotepeque,2005-07-05,19.883,14.25,270.75
copan,2005-07-05,17.453,14.75,271.25
comayagua,2005-07-06,19.629,14.25,272.25
ocotepeque,2005-07-06,21.339,14.25,270.75
copan,2005-07-06,19.513,14.75,271.25
comayagua,2005-07-07,17.736,14.25,272.25
ocotepeque,2005-07-07,20.252,14.25,270.75
copan,2005-07-07,17.046,14.75,271.25
comayagua,2005-07-08,18.804,14.25,272.25
ocotepeque,2005-07-08,19.164,14.25,270.75
copan,2005-07-08,16.052,14.75,271.25
comayagua,2005-07-09,17.968,14.25,272.25
ocotepeque,2005-07-09,24.469,14.25,270.75
copan,2005-07-09,26.637,14.75,271.25
comayagua,2005-07-10,19.431,14.25,272.25
ocotepeque,2005-07-10,20.512,14.25,270.75
copan,2005-07-10,19.085,14.75,271.25
comayagua,2005-07-11,19.709,14.25,272.25
ocotepeque,2005-07-11,23.415,14.25,270.75
copan,2005-07-11,21.389,14.75,271.25
comayagua,2005-07-12,18.513,14.25,272.25
ocotepeque,2005-07-12,19.107,14.25,270.75
copan,2005-07-12,17.332,14.75,271.25
