town,year,month,tmean_c,grid_lat,grid_lon
copan,2021,3,20.643,14.75,271.25
comayagua,2021,4,21.054,14.25,272.25
ocotepeque,2021,4,22.741,14.25,270.75
copan,2021,4,21.491,14.75,271.25
comayagua,2021,5,21.794,14.25,272.25
ocotepeque,2021,5,23.513,14.25,270.75
copan,2021,5,22.419,14.75,271.25
comayagua,2021,6,21.33,14.25,272.25
ocotepeque,2021,6,23.049,14.25,270.75
copan,2021,6,22.143,14.75,271.25
comayagua,2021,7,21.379,14.25,272.25
ocotepeque,2021,7,23.035,14.25,270.75
copan,2021,7,22.035,14.75,271.25
comayagua,2021,8,21.108,14.25,272.25
ocotepeque,2021,8,22.952,14.25,270.75
copan,2021,8,21.92,14.75,271.25
comayagua,2021,9,20.818,14.25,272.25
ocotepeque,2021,9,22.787,14.25,270.75
copan,2021,9,21.787,14.75,271.25
comayagua,2021,10,20.963,14.25,272.25
ocotepeque,2021,10,22.932,14.25,270.75
copan,2021,10,21.745,14.75,271.25
comayagua,2021,11,18.961,14.25,272.25
ocotepeque,2021,11,20.992,14.25,270.75
copan,2021,11,19.586,14.75,271.25
comayagua,2021,12,20.048,14.25,272.25
ocotepeque,2021,12,21.86,14.25,270.75
copan,2021,12,20.454,14.75,271.25
comayagua,2022,1,19.49,14.25,272.25
ocotepeque,2022,1,21.083,14.25,270.75
copan,2022,1,19.646,14.75,271.25
comayagua,2022,2,18.55,14.25,272.25
ocotepeque,2022,2,19.987,14.25,270.75
copan,2022,2,18.8,14.75,271.25
comayagua,2022,3,20.835,14.25,272.25
ocotepeque,2022,3,22.741,14.25,270.75
copan,2022,3,21.273,14.75,271.25
comayagua,2022,4,21.393,14.25,272.25
ocotepeque,2022,4,23.143,14.25,270.75
copan,2022,4,21.831,14.75,271.25
comayagua,2022,5,21.132,14.25,272.25
ocotepeque,2022,5,23.132,14.25,270.75
copan,2022,5,21.944,14.75,271.25
comayagua,2022,6,20.024,14.25,272.25
ocotepeque,2022,6,21.587,14.25,270.75
copan,2022,6,20.774,14.75,271.25
comayagua,2022,7,20.545,14.25,272.25
