town,date,tmax_c,grid_lat,grid_lon
comayagua,2005-04-04,28.268,14.25,272.25
ocotepeque,2005-04-04,30.744,14.25,270.75
copan,2005-04-04,23.035,14.75,271.25
comayagua,2005-04-05,31.192,14.25,272.25
ocotepeque,2005-04-05,33.873,14.25,270.75
copan,2005-04-05,31.172,14.75,271.25
comayagua,2005-04-06,32.331,14.25,272.25
ocotepeque,2005-04-06,31.022,14.25,270.75
copan,2005-04-06,29.391,14.75,271.25
comayagua,2005-04-07,30.771,14.25,272.25
ocotepeque,2005-04-07,34.177,14.25,270.75
copan,2005-04-07,30.703,14.75,271.25
comayagua,2005-04-08,30.036,14.25,272.25
ocotepeque,2005-04-08,32.339,14.25,270.75
copan,2005-04-08,26.928,14.75,271.25
comayagua,2005-04-09,30.857,14.25,272.25
ocotepeque,2005-04-09,33.407,14.25,270.75
copan,2005-04-09,30.208,14.75,271.25
comayagua,2005-04-10,32.46,14.25,272.25
ocotepeque,2005-04-10,32.304,14.25,270.75
copan,2005-04-10,30.473,14.75,271.25
comayagua,2005-04-11,31.782,14.25,272.25
ocotepeque,2005-04-11,32.011,14.25,270.75
copan,2005-04-11,31.401,14.75,271.25
comayagua,2005-04-12,32.475,14.25,272.25
ocotepeque,2005-04-12,33.679,14.25,270.75
copan,2005-04-12,31.355,14.75,271.25
comayagua,2005-04-13,31.763,14.25,272.25
ocotepeque,2005-04-13,32.593,14.25,270.75
copan,2005-04-13,28.769,14.75,271.25
comayagua,2005-04-14,31.244,14.25,272.25
ocotepeque,2005-04-14,32.192,14.25,270.75
copan,2005-04-14,27.742,14.75,271.25
comayagua,2005-04-15,26.001,14.25,272.25
ocotepeque,2005-04-15,31.134,14.25,270.75
copan,2005-04-15,23.273,14.75,271.25
comayagua,2005-04-16,25.639,14.25,272.25
ocotepeque,2005-04-16,29.188,14.25,270.75
copan,2005-04-16,18.417,14.75,271.25
comayagua,2005-04-17,23.442,14.25,272.25
ocotepeque,2005-04-17,28.685,14.25,270.75
copan,2005-04-17,19.738,14.75,271.25
comayagua,2005-04-18,26.838,14.25,272.25
ocotepeque,2005-04-18,32.05,14.25,270.75
copan,2005-04-18,23.953,14.75,271.25
comayagua,2005-04-19,31.498,14.25,272.25
ocotepeque,2005-04-19,32.535,14.25,270.75
copan,2005-04-19,25.866,14.75,271.25
comayagua,2005-04-20,31.533,14.25,272.25
ocotepeque,2005-04-20,33.365,14.25,270.75
copan,2005-04-20,28.73,14.75,271.25
comayagua,2005-04-21,33.478,14.25,272.25
ocotepeque,2005-04-21,32.58,14.25,270.75
copan,2005-04-21,30.211,14.75,271.25
comayagua,2005-04-22,31.449,14.25,272.25
ocotepeque,2005-04-22,31.569,14.25,270.75
copan,2005-04-22,28.19,14.75,271.25
comayagua,2005-04-23,33.526,14.25,272.25
ocotepeque,2005-04-23,32.264,14.25,270.75
copan,2005-04-23,29.077,14.75,271.25
comayagua,2005-04-24,28.399,14.25,272.25
ocotepeque,2005-04-24,31.063,14.25,270.75
copan,2005-04-24,27.735,14.75,271.25
comayagua,2005-04-25,29.462,14.25,272.25
ocotepeque,2005-04-25,29.802,14.25,270.75
copan,2005-04-25,29.293,14.75,271.25
comayagua,2005-04-26,30.663,14.25,272.25
ocotepeque,2005-04-26,30.262,14.25,270.75
copan,2005-04-26,29.674,14.75,271.25
comayagua,2005-04-27,33.645,14.25,272.25
ocotepeque,2005-04-27,32.421,14.25,270.75
copan,2005-04-27,29.993,14.75,271.25
comayagua,2005-04-28,33.551,14.25,272.25
ocotepeque,2005-04-28,33.747,14.25,270.75
copan,2005-04-28,31.077,14.75,271.25
comayagua,2005-04-29,31.289,14.25,272.25
ocotepeque,2005-04-29,32.728,14.25,270.75
copan,2005-04-29,31.381,14.75,271.25
comayagua,2005-04-30,32.162,14.25,272.25
ocotepeque,2005-04-30,32.813,14.25,270.75
copan,2005-04-30,32.014,14.75,271.25
comayagua,2005-05-01,32.156,14.25,272.25
ocotepeque,2005-05-01,31.835,14.25,270.75
copan,2005-05-01,29.312,14.75,271.25
comayagua,2005-05-02,31.537,14.25,272.25
ocotepeque,2005-05-02,32.069,14.25,270.75
copan,2005-05-02,29.398,14.75,271.25
comayagua,2005-05-03,30.733,14.25,272.25
ocotepeque,2005-05-03,31.386,14.25,270.75
copan,2005-05-03,29.84,14.75,271.25
comayagua,2005-05-04,30.258,14.25,272.25
ocotepeque,2005-05-04,31.123,14.25,270.75
copan,2005-05-04,30.038,14.75,271.25
comayagua,2005-05-05,25.609,14.25,272.25
ocotepeque,2005-05-05,31.078,14.25,270.75
copan,2005-05-05,27.232,14.75,271.25
comayagua,2005-05-06,30.382,14.25,272.25
ocotepeque,2005-05-06,31.938,14.25,270.75
copan,2005-05-06,27.775,14.75,271.25
comayagua,2005-05-07,27.961,14.25,272.25
ocotepeque,2005-05-07,31.058,14.25,270.75
copan,2005-05-07,26.813,14.75,271.25
comayagua,2005-05-08,31.118,14.25,272.25
ocotepeque,2005-05-08,31.285,14.25,270.75
copan,2005-05-08,29.645,14.75,271.25
comayagua,2005-05-09,31.36,14.25,272.25
ocotepeque,2005-05-09,31.362,14.25,270.75
copan,2005-05-09,26.522,14.75,271.25
comayagua,2005-05-10,27.068,14.25,272.25
ocotepeque,2005-05-10,31.028,14.25,270.75
copan,2005-05-10,26.889,14.75,271.25
comayagua,2005-05-11,25.519,14.25,272.25
ocotepeque,2005-05-11,31.09,14.25,270.75
copan,2005-05-11,27.211,14.75,271.25
comayagua,2005-05-12,27.643,14.25,272.25
ocotepeque,2005-05-12,29.803,14.25,270.75
copan,2005-05-12,25.825,14.75,271.25
comayagua,2005-05-13,28.176,14.25,272.25
ocotepeque,2005-05-13,30.263,14.25,270.75
copan,2005-05-13,25.504,14.75,271.25
comayagua,2005-05-14,31.028,14.25,272.25
ocotepeque,2005-05-14,28.477,14.25,270.75
copan,2005-05-14,27.42,14.75,271.25
comayagua,2005-05-15,26.962,14.25,272.25
ocotepeque,2005-05-15,29.01,14.25,270.75
copan,2005-05-15,26.119,14.75,271.25
comayagua,2005-05-16,29.061,14.25,272.25
ocotepeque,2005-05-16,27.653,14.25,270.75
