town,date,precip_mm,grid_lat,grid_lon
ocotepeque,2005-04-19,0.0,14.25,270.75
copan,2005-04-19,0.0,14.75,271.25
comayagua,2005-04-20,0.0,14.25,272.25
ocotepeque,2005-04-20,0.0,14.25,270.75
copan,2005-04-20,0.0,14.75,271.25
comayagua,2005-04-21,0.0,14.25,272.25
ocotepeque,2005-04-21,0.0,14.25,270.75
copan,2005-04-21,0.0,14.75,271.25
comayagua,2005-04-22,3.457,14.25,272.25
ocotepeque,2005-04-22,0.0,14.25,270.75
copan,2005-04-22,0.0,14.75,271.25
comayagua,2005-04-23,0.366,14.25,272.25
ocotepeque,2005-04-23,2.117,14.25,270.75
copan,2005-04-23,0.23,14.75,271.25
comayagua,2005-04-24,0.571,14.25,272.25
ocotepeque,2005-04-24,0.0,14.25,270.75
copan,2005-04-24,0.0,14.75,271.25
comayagua,2005-04-25,0.074,14.25,272.25
ocotepeque,2005-04-25,1.828,14.25,270.75
copan,2005-04-25,0.218,14.75,271.25
comayagua,2005-04-26,0.026,14.25,272.25
ocotepeque,2005-04-26,0.0,14.25,270.75
copan,2005-04-26,0.0,14.75,271.25
comayagua,2005-04-27,0.0,14.25,272.25
ocotepeque,2005-04-27,0.0,14.25,270.75
copan,2005-04-27,0.0,14.75,271.25
comayagua,2005-04-28,0.0,14.25,272.25
ocotepeque,2005-04-28,0.0,14.25,270.75
copan,2005-04-28,0.0,14.75,271.25
comayagua,2005-04-29,0.0,14.25,272.25
ocotepeque,2005-04-29,0.0,14.25,270.75
copan,2005-04-29,0.0,14.75,271.25
comayagua,2005-04-30,0.0,14.25,272.25
ocotepeque,2005-04-30,0.0,14.25,270.75
copan,2005-04-30,0.0,14.75,271.25
comayagua,2005-05-01,0.617,14.25,272.25
ocotepeque,2005-05-01,0.0,14.25,270.75
copan,2005-05-01,0.0,14.75,271.25
comayagua,2005-05-02,0.676,14.25,272.25
ocotepeque,2005-05-02,0.061,14.25,270.75
copan,2005-05-02,0.114,14.75,271.25
comayagua,2005-05-03,2.993,14.25,272.25
ocotepeque,2005-05-03,2.837,14.25,270.75
copan,2005-05-03,0.291,14.75,271.25
comayagua,2005-05-04,12.831,14.25,272.25
ocotepeque,2005-05-04,44.947,14.25,270.75
copan,2005-05-04,2.448,14.75,271.25
comayagua,2005-05-05,1.671,14.25,272.25
ocotepeque,2005-05-05,0.067,14.25,270.75
copan,2005-05-05,0.074,14.75,271.25
comayagua,2005-05-06,0.741,14.25,272.25
ocotepeque,2005-05-06,0.0,14.25,270.75
copan,2005-05-06,0.038,14.75,271.25
comayagua,2005-05-07,1.651,14.25,272.25
ocotepeque,2005-05-07,0.159,14.25,270.75
copan,2005-05-07,0.061,14.75,271.25
comayagua,2005-05-08,0.187,14.25,272.25
ocotepeque,2005-05-08,27.422,14.25,270.75
copan,2005-05-08,13.585,14.75,271.25
comayagua,2005-05-09,0.034,14.25,272.25
ocotepeque,2005-05-09,0.571,14.25,270.75
copan,2005-05-09,0.106,14.75,271.25
comayagua,2005-05-10,0.255,14.25,272.25
ocotepeque,2005-05-10,1.913,14.25,270.75
copan,2005-05-10,8.801,14.75,271.25
comayagua,2005-05-11,3.242,14.25,272.25
ocotepeque,2005-05-11,10.285,14.25,270.75
copan,2005-05-11,0.697,14.75,271.25
comayagua,2005-05-12,0.477,14.25,272.25
ocotepeque,2005-05-12,8.343,14.25,270.75
copan,2005-05-12,0.474,14.75,271.25
comayagua,2005-05-13,7.416,14.25,272.25
ocotepeque,2005-05-13,1.409,14.25,270.75
copan,2005-05-13,11.571,14.75,271.25
comayagua,2005-05-14,0.845,14.25,272.25
ocotepeque,2005-05-14,0.331,14.25,270.75
copan,2005-05-14,0.65,14.75,271.25
comayagua,2005-05-15,3.289,14.25,272.25
ocotepeque,2005-05-15,0.397,14.25,270.75
copan,2005-05-15,0.161,14.75,271.25
comayagua,2005-05-16,0.0,14.25,272.25
ocotepeque,2005-05-16,0.0,14.25,270.75
