date,element,value,mflag,qflag,sflag
19820617,PRCP,21.3,,,I
19820618,PRCP,0.0,,,I
19820619,PRCP,2.0,,,I
19820620,PRCP,0.0,,,I
19820621,PRCP,8.0,,,I
19820622,PRCP,9.3,,,I
19820623,PRCP,22.5,,,I
19820624,PRCP,14.2,,,I
19820625,PRCP,9.3,,,I
19820626,PRCP,11.3,,,I
19820627,PRCP,18.2,,,I
19820628,PRCP,3.0,,,I
19820629,PRCP,0.0,,,I
19820630,PRCP,0.7,,,I
19820701,PRCP,2.5,,,I
19820702,PRCP,0.0,,,I
19820703,PRCP,0.0,,,I
19820704,PRCP,16.9,,,I
19820705,PRCP,3.8,,,I
19820706,PRCP,0.0,,,I
19820707,PRCP,14.6,,,I
19820708,PRCP,13.4,,,I
19820709,PRCP,0.0,,,I
19820710,PRCP,0.0,,,I
19820711,PRCP,0.0,,,I
19820712,PRCP,7.5,,,I
19820713,PRCP,80.0,,,I
19820714,PRCP,13.6,,,I
19820715,PRCP,7.1,,,I
19820716,PRCP,8.7,,,I
19820717,PRCP,2.8,,,I
19820718,PRCP,1.7,,,I
19820719,PRCP,0.0,,,I
19820720,PRCP,2.2,,,I
19820721,PRCP,15.2,,,I
19820722,PRCP,4.6,,,I
19820723,PRCP,0.2,,,I
19820724,PRCP,21.7,,,I
19820725,PRCP,1.3,,,I
19820726,PRCP,0.8,,,I
19820727,PRCP,0.0,,,I
19820728,PRCP,3.2,,,I
19820729,PRCP,13.2,,,I
19820730,PRCP,2.3,,,I
19820731,PRCP,16.8,,,I
19820801,PRCP,2.1,,,I
19820802,PRCP,5.6,,,I
19820803,PRCP,1.6,,,I
19820804,PRCP,0.0,,,I
19820805,PRCP,0.0,,,I
19820806,PRCP,0.0,,,I
19820807,PRCP,0.0,,,I
19820808,PRCP,0.0,,,I
19820809,PRCP,1.6,,,I
19820810,PRCP,4.2,,,I
19820811,PRCP,0.8,,,I
19820812,PRCP,14.0,,,I
19820813,PRCP,0.0,,,I
19820814,PRCP,0.0,,,I
19820815,PRCP,6.5,,,I
19820816,PRCP,12.4,,,I
19820817,PRCP,25.8,,,I
19820818,PRCP,9.9,,,I
19820819,PRCP,20.7,,,I
19820820,PRCP,9.0,,,I
19820821,PRCP,1.4,,,I
19820822,PRCP,2.0,,,I
19820823,PRCP,7.9,,,I
19820824,PRCP,1.6,,,I
